SKU,Model,Color,Gender,Cost,Price,Source
1,Arabique,Multicolore,Femme,75,150.0,conversation
2,Babouche Christine,Multicolore,Femme,90,180.0,conversation
3,Babouche à l'envers,Rouge,Femme,90,180.0,conversation
4,Babouches à l'envers,Violet,Femme,90,180.0,conversation
5,Babush Spirales,Multicolore,Femme,80,160.0,conversation
6,Ballerines,Divers,Femme,90,180.0,conversation
7,Birkenstock boucle blanche,Blanc,Femme,80,160.0,conversation
8,Birkenstock Sabo,Rouge,Femme,130,260.0,conversation
9,Bottes médiévales,Marron,Femme,400,800.0,
10,Chaussures climatisées,Marron clair,Femme,90,180.0,conversation
11,Chaussures fleurs dessinées à la main,Multicolore,Femme,160,320.0,conversation
12,Chinois,Rouge,Femme,160,320.0,conversation
13,Coeur,Multicolore,Femme,85,170.0,conversation
14,Corée,Blanche,Femme,85,170.0,conversation
15,Corée,Marron,Femme,85,170.0,conversation
16,Corée,Noire,Femme,85,170.0,conversation
17,Croisé,Marron,Femme,80,160.0,conversation
18,Fisherman,Beige,Femme,85,170.0,conversation
19,Gazelle Scratch Rasala,Blanche,Femme,85,170.0,conversation
20,Gazelle Scratch Rasala,Noire,Femme,85,170.0,conversation
21,Grande chaussure spirale,Rouge / Vert / Violet,Femme,140,280.0,conversation
22,Hermès,Blanche,Femme,85,170.0,conversation
23,Hermès,Camel,Femme,85,170.0,conversation
24,Hermès,Caramel,Femme,85,170.0,conversation
25,Hermès,Noire,Femme,85,170.0,conversation
26,Hermès avec Scratch,Marron,Femme,85,170.0,conversation
27,Hermès avec Scratch,Rouge,Femme,85,170.0,conversation
28,Hermès Birkenstock Scratch,Blanc avec ceinture marron,Femme,85,170.0,conversation
29,Jacques,Noire,Femme,85,170.0,conversation
30,Jamaica,Multicolore,Femme,85,170.0,conversation
31,Mamy Occasion,Beige,Femme,60,120.0,conversation
32,Mocassins,Violet,Femme,130,260.0,conversation
33,Pologne,Multicolore,Femme,140,280.0,conversation
34,Sandale Spirale,Marron,Femme,85,170.0,conversation
35,Sandales dessinées à la main,Multicolore,Femme,90,180.0,conversation
36,Sandales japonaises Occasion,Multicolore,Femme,60,120.0,conversation
37,Sandales japonaises talons en bois,Multicolore,Femme,60,120.0,conversation
38,Sandals Vanessa,Marron,Femme,85,170.0,conversation
39,Spartiate,Multicolore,Femme,130,260.0,conversation
40,Spartiate,Noire,Femme,130,260.0,conversation
41,Spartiate,Vert,Femme,130,260.0,conversation
42,Spartiate Occasion,Rouge,Femme,60,120.0,conversation
43,Suède,Multicolore,Femme,80,160.0,conversation
44,Tafraout,Rouge,Femme,80,160.0,conversation
45,Tafraout dessinée à la main,Multicolore,Femme,90,180.0,conversation
46,Togo,Noire,Femme,85,170.0,conversation
47,Togo Boucle,Beige,Femme,85,170.0,conversation
48,Togo fin avec élastique,Noire,Femme,80,160.0,
49,Togo lanière fine,Rose,Femme,80,160.0,conversation
50,Togo Occasion,Noire,Femme,60,120.0,conversation
51,Tropézienne,Argentée,Femme,80,160.0,conversation
52,Tropézienne,Jaune,Femme,80,160.0,conversation
53,Tropézienne,Marron foncé,Femme,80,160.0,conversation
54,Tropézienne,Rouge,Femme,80,160.0,conversation
55,Tropézienne argentée castré,Argenté,Femme,80,160.0,
56,Tropézienne Occasion,Gris,Femme,60,120.0,conversation
57,Tropézienne Occasion,Marron,Femme,60,120.0,conversation
58,Tropézienne Occasion,Or,Femme,60,120.0,conversation
59,Zara Occasion Semelle Rouge,Multicolore,Femme,60,120.0,
60,Zara Occasion Semelle Vert,Multicolore,Femme,60,120.0,conversation
